"section","metric_id","label","value","unit","evidence_type","notes"
"simulation","blowoutPercentAtLeast150","blowoutPercentAtLeast150","7.7","percent","v4-sensitivity-estimate","A strong draft materially improves season results, while one six-game matchup still gives an underdog a realistic path to win."
"simulation","topProjectedRosterTopFourPercent","topProjectedRosterTopFourPercent","83","percent","v4-sensitivity-estimate","A strong draft materially improves season results, while one six-game matchup still gives an underdog a realistic path to win."
"simulation","bottomProjectedRosterTopFourPercent","bottomProjectedRosterTopFourPercent","1.4","percent","v4-sensitivity-estimate","A strong draft materially improves season results, while one six-game matchup still gives an underdog a realistic path to win."
"archetype","hit-only-forward","Hit-only forward","pass","status","historical-audit","Hit-heavy grinders did not become elite forward options in the historical sample."
"archetype","shot-only-forward","Shot volume without production","pass","status","historical-audit","High-shot, low-conversion players gained useful value but did not routinely overtake elite scorers."
"archetype","toi-only-defense","High-TOI, low-offense defense","pass-with-monitoring","status","historical-audit","Usage created a dependable floor, but no identified low-offense archetype became a top-12 defenseman solely through time on ice."
"archetype","poor-efficiency-goalie","High-volume, poor-efficiency goalie unit","pass","status","historical-audit","Poor efficiency remained meaningfully weaker than strong goaltending with similar or lower volume."
"archetype","goalie-draft-wave","Goalie draft wave","monitor","status","historical-audit","Scoring V4 increases goalie separation, but the separate Projection V11 Draft slot curve still requires live V4 evidence and recalibration."
"archetype","modern-season-replication","Modern-season replication","open","status","historical-audit","The complete audit must be repeated with recent exact NHL data before the baseline is considered permanent."
"acceptance","underdog-rate","Projected-underdog win rate","30-45","percent","evidence-backed-range-around-v3-v4-behavior","Initial operating range; not an industry guarantee."
"acceptance","close-rate","Matchups within 25 points","18-30","percent","evidence-backed-range-around-v3-v4-behavior","Initial operating range; not an industry guarantee."
"acceptance","blowout-rate","Matchups separated by at least 150 points","0-10","percent","evidence-backed-maximum","Initial operating range; not an industry guarantee."
"acceptance","top-roster-signal","Top projected roster finishing top four","70-90","percent","evidence-backed-range","Initial operating range; not an industry guarantee."
"acceptance","one-position-first-round-share","Maximum share of one position in repeated first rounds","0-50","percent","initial-product-design-target","Initial operating range; not an industry guarantee."
